,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
119,-164801935.698281,-353273647.1455459,-1186695194.004853,-2607311466.5059304,-925111978.297051,-1137910789.7166858,-4802573988.81031,-86835629.97592533,-133453125.3511334
120,-276824434.2997822,-696216006.4348059,-8702107329.522444,-468164974.8561514,-1382790860.425632,-247244947.7051892,99595463.05564316,-191278846.4461684,24572745.75525919
121,-460022022.08170617,-1122319178.7219014,-2206591993.384588,-3134111070.450313,-1255246870.8188722,-513501183.2609357,-264215334.54431745,-131482305.4641955,-1421182201.6738422
122,-488703914.8265637,-154267273.67039016,-6712378949.748935,-3617343410.055565,-3440777275.2773576,546551404.0083615,-1829754712.6023853,-29488033.69784808,-43229061.22078767
123,-593365949.1285983,-54658301.30426226,12850610.163358008,-3545926214.1236186,-995100141.2179942,-490431709.8546817,-375164418.3716527,-392842879.0183106,-389305342.4377895
124,-203319749.20244884,-263115655.1778747,-666138551.1634059,-852134429.54819,-921713896.6622684,-830092933.833073,-368044050.2299423,-24222243.012106284,-1144945692.387087
125,-75377921.33658937,-157097597.7787601,-1414369754.840034,-4614920627.369687,-3037777232.2148566,-993888713.1599296,-825828817.7394321,-28392072.24787345,-2080878237.98646
126,76387812.47151549,-459009880.29320514,-55469296.600345775,-8041307332.296496,-1737970098.5000768,-5868153772.04075,-2393558250.0047817,-60707798.36688018,1239283434.199721
127,-1063842585.195202,-1579863683.6228344,-1330198571.3921404,-5871016427.02743,-2500009788.385515,-4812044412.69791,-1068150732.8529108,-11906148.190821957,-983340149.407816
128,17913876.533194836,-764902472.042323,-785352499.5757029,-3150306662.1222425,-3050224925.4208765,-2140071374.544152,-516859098.3171659,-75466172.0233623,-966818049.233549
129,-192865561.9331461,-412747418.4446232,-48810301902.43169,-2302376945.6243625,-3429736300.149789,-134956073.765328,-860043129.1069058,-555487482.8843485,-2464504290.5927224
130,22818343.93673315,-85978288.78640518,-728015694.2350297,-163924293.93579498,-123743671.97073512,-673289802.4657428,-265366088.3975577,-1809541595.130722,-461761951.8745205
131,-1314247991.3273337,-223961277.888986,-1185004388.3514214,-1404553472.3039694,-24587186995.37062,-335972018.2884773,-1918436438.520691,-52224616.38423853,-368179352.687817
132,-728256880.45667,-48415611.072527625,-244055925.55975905,-86760392.76775713,-772129908.6632094,-660472778.7811496,-1660654783.9240866,-170514071.01808572,-1633195047.4493
133,-109211277.05690144,-205178001.007037,-398597353.1647885,-3570821878.2235503,-400744429.9070543,-184983475.60008883,-1703352549.4141817,1487773.4028139776,212780679.6348592
134,-347319768.51764804,-194294022.9850716,-1608585012.1539009,-4511466528.055932,-1105171788.5246415,27699709.59386897,-156859675.1332707,-7465843.3470044,-2114635774.152448
135,-459889363.8829721,-1510241303.2042108,-448159180.9731365,-1148082210.988907,-267061220.9551649,-63684277.35437617,27017740.65663093,-618510096.7879329,-2272949291.0639462
136,41936759.35221238,-360506161.3172467,-1137879406.480226,-1014883272.6306374,-2412784258.459974,94102499.40766826,41208539.878286175,-536064365.9384046,-2568241479.1229377
137,-1327931123.69486,-834377111.3223387,-327378798.4879003,-192450356.1865888,-1292857967.2881832,-1680348562.4643428,99943977.2098184,-57362288.1317034,-915490607.7134612
138,-409182541.0383367,-674125403.4396815,-1392705009.1879914,-146679400.50755543,-663064274.93325,-119433346.28888512,-2087610301.202116,-160276447.8450988,-738306896.0266392
139,-23314873.83214737,-3615694315.7429466,-803834231.8698831,-11770743.36043198,-569040061.2788297,-813720638.734001,-2965580634.826934,-77486581.47134465,401829186.88887465
140,-309872940.919132,-506057637.5572002,-2073357957.3070607,-330737630.4421262,-237022848.6309449,-232175130.5366808,-542813747.6334636,-1057311595.7025232,-318184806.87308866
141,-134988092.80912605,-649661913.893369,-2452934390.5635304,-267624971.25608265,-1968386709.194796,-2345426021.2968416,-1034325703.2538284,-286199225.16832894,-522226770.1595751
142,-168187656.8716958,21991752.32562213,-915250743.4867064,-505859260.055396,-8471947.96787156,-235223822.04333588,-529451957.44990367,-397542127.27681214,-710647665.5455866
